id,city_en,prefecture_en
1391,"Shimamaki, Hokkaido",Hokkaido
1392,"Suttsu, Hokkaido",Hokkaido
1393,"Kuromatsunai, Hokkaido",Hokkaido
1394,"Rankoshi, Hokkaido",Hokkaido
1395,"Niseko, Hokkaido",Hokkaido
1396,"Makkari, Hokkaido",Hokkaido
1397,"Rusutsu, Hokkaido",Hokkaido
1398,"Kimobetsu, Hokkaido",Hokkaido
1399,"Kyogoku, Hokkaido",Hokkaido
1400,"Kutchan, Hokkaido",Hokkaido
1401,"Kyowa, Hokkaido",Hokkaido
1402,"Iwanai, Hokkaido",Hokkaido
1403,"Tomari, Hokkaido",Hokkaido
1404,"Kamoenai, Hokkaido",Hokkaido
1405,"Shakotan, Hokkaido",Hokkaido
1406,"Furubira, Hokkaido",Hokkaido
1407,"Niki, Hokkaido",Hokkaido
1408,"Yoichi, Hokkaido",Hokkaido
1409,"Akaigawa, Hokkaido",Hokkaido
1423,"Nanporo, Hokkaido",Hokkaido
1424,"Naie, Hokkaido",Hokkaido
1425,"Kamisunagawa, Hokkaido",Hokkaido
1427,"Yuni, Hokkaido",Hokkaido
1428,"Naganuma, Hokkaido",Hokkaido
1429,"Kuriyama, Hokkaido",Hokkaido
1430,"Tsukigata, Hokkaido",Hokkaido
1431,"Urausu, Hokkaido",Hokkaido
1432,"Shintotsukawa, Hokkaido",Hokkaido
1433,"Moseushi, Hokkaido",Hokkaido
1434,"Chippubetsu, Hokkaido",Hokkaido
1436,"Uryu, Hokkaido",Hokkaido
1437,"Hokuryu, Hokkaido",Hokkaido
1438,"Numata, Hokkaido",Hokkaido
1452,"Takasu, Hokkaido",Hokkaido
1453,"Higashikagura, Hokkaido",Hokkaido
1454,"Toma, Hokkaido",Hokkaido
1455,"Pippu, Hokkaido",Hokkaido
1456,"Aibetsu, Hokkaido",Hokkaido
1457,"Kamikawa, Hokkaido",Hokkaido
1458,"Higashikawa, Hokkaido",Hokkaido
1459,"Biei, Hokkaido",Hokkaido
1460,"Kamifurano, Hokkaido",Hokkaido
1461,"Nakafurano, Hokkaido",Hokkaido
1462,"Minamifurano, Hokkaido",Hokkaido
1463,Shimukappu,Hokkaido
1464,"Wassamu, Hokkaido",Hokkaido
1465,"Kenbuchi, Hokkaido",Hokkaido
1468,"Shimokawa, Hokkaido",Hokkaido
1469,"Bifuka, Hokkaido",Hokkaido
1470,"Otoineppu, Hokkaido",Hokkaido
1471,"Nakagawa, Hokkaido",Hokkaido
1472,"Horokanai, Hokkaido",Hokkaido
1481,"Mashike, Hokkaido",Hokkaido
1482,"Obira, Hokkaido",Hokkaido
1483,"Tomamae, Hokkaido",Hokkaido
1484,"Haboro, Hokkaido",Hokkaido
1485,"Shosanbetsu, Hokkaido",Hokkaido
1486,"Enbetsu, Hokkaido",Hokkaido
1487,"Teshio, Hokkaido",Hokkaido
1511,"Sarufutsu, Hokkaido",Hokkaido
1512,"Hamatonbetsu, Hokkaido",Hokkaido
1513,"Nakatonbetsu, Hokkaido",Hokkaido
1514,"Esashi, Hokkaido (Soya)",Hokkaido
1516,"Toyotomi, Hokkaido",Hokkaido
1517,"Rebun, Hokkaido",Hokkaido
1518,"Rishiri, Hokkaido",Hokkaido
1519,"Rishirifuji, Hokkaido",Hokkaido
1520,"Horonobe, Hokkaido",Hokkaido
1543,"Bihoro, Hokkaido",Hokkaido
1544,"Tsubetsu, Hokkaido",Hokkaido
1545,"Shari, Hokkaido",Hokkaido
1546,"Kiyosato, Hokkaido",Hokkaido
1547,"Koshimizu, Hokkaido",Hokkaido
1549,"Kunneppu, Hokkaido",Hokkaido
1550,"Oketo, Hokkaido",Hokkaido
1552,"Saroma, Hokkaido",Hokkaido
1555,"Engaru, Hokkaido",Hokkaido
1559,"Yubetsu, Hokkaido",Hokkaido
1560,"Takinoue, Hokkaido",Hokkaido
1561,"Okoppe, Hokkaido",Hokkaido
1562,"Nishiokoppe, Hokkaido",Hokkaido
1563,"omu, Hokkaido",Hokkaido
1564,"ozora, Hokkaido",Hokkaido
1571,"Toyoura, Hokkaido",Hokkaido
1575,"Sobetsu, Hokkaido",Hokkaido
1578,"Shiraoi, Hokkaido",Hokkaido
1581,"Atsuma, Hokkaido",Hokkaido
1584,"Toyako, Hokkaido",Hokkaido
1585,"Abira, Hokkaido",Hokkaido
1586,"Mukawa, Hokkaido",Hokkaido
1601,"Hidaka, Hokkaido",Hokkaido
1602,"Biratori, Hokkaido",Hokkaido
1604,"Niikappu, Hokkaido",Hokkaido
1607,"Urakawa, Hokkaido",Hokkaido
1608,"Samani, Hokkaido",Hokkaido
1609,"Erimo, Hokkaido",Hokkaido
1610,"Shinhidaka, Hokkaido",Hokkaido
1631,"Otofuke, Hokkaido",Hokkaido
1632,"Shihoro, Hokkaido",Hokkaido
1633,"Kamishihoro, Hokkaido",Hokkaido
1634,"Shikaoi, Hokkaido",Hokkaido
1635,"Shintoku, Hokkaido",Hokkaido
1636,"Shimizu, Hokkaido",Hokkaido
1637,"Memuro, Hokkaido",Hokkaido
1638,"Nakasatsunai, Hokkaido",Hokkaido
1639,"Sarabetsu, Hokkaido",Hokkaido
1641,"Taiki, Hokkaido",Hokkaido
1642,"Hiroo, Hokkaido",Hokkaido
1643,"Makubetsu, Hokkaido",Hokkaido
1644,"Ikeda, Hokkaido",Hokkaido
1645,"Toyokoro, Hokkaido",Hokkaido
1646,"Honbetsu, Hokkaido",Hokkaido
1647,"Ashoro, Hokkaido",Hokkaido
1648,"Rikubetsu, Hokkaido",Hokkaido
1649,"Urahoro, Hokkaido",Hokkaido
1661,Kushiro (town),Hokkaido
1662,"Akkeshi, Hokkaido",Hokkaido
1663,"Hamanaka, Hokkaido",Hokkaido
1664,"Shibecha, Hokkaido",Hokkaido
1665,"Teshikaga, Hokkaido",Hokkaido
1667,Tsurui,Hokkaido
1668,"Shiranuka, Hokkaido",Hokkaido
1691,"Betsukai, Hokkaido",Hokkaido
1692,"Nakashibetsu, Hokkaido",Hokkaido
1693,"Shibetsu, Hokkaido (Nemuro)",Hokkaido
1694,"Rausu, Hokkaido",Hokkaido
2201,Aomori (city),Aomori
2202,Hirosaki,Aomori
2203,Hachinohe,Aomori
2204,"Kuroishi, Aomori",Aomori
2205,"Goshogawara, Aomori",Aomori
2206,"Towada, Aomori",Aomori
2207,"Misawa, Aomori",Aomori
2208,"Mutsu, Aomori",Aomori
2209,"Tsugaru, Aomori",Aomori
2210,"Hirakawa, Aomori",Aomori
2301,Hiranai,Aomori
2303,"Imabetsu, Aomori",Aomori
2304,"Yomogita, Aomori",Aomori
2307,"Sotogahama, Aomori",Aomori
2321,"Ajigasawa, Aomori",Aomori
2323,"Fukaura, Aomori",Aomori
2343,"Nishimeya, Aomori",Aomori
2361,"Fujisaki, Aomori",Aomori
2362,"Owani, Aomori",Aomori
2367,"Inakadate, Aomori",Aomori
2381,"Itayanagi, Aomori",Aomori
2384,"Tsuruta, Aomori",Aomori
2387,"Nakadomari, Aomori",Aomori
2401,"Noheji, Aomori",Aomori
2402,"Shichinohe, Aomori",Aomori
2405,"Rokunohe, Aomori",Aomori
2406,"Yokohama, Aomori",Aomori
2408,"Tohoku, Aomori",Aomori
2411,"Rokkasho, Aomori",Aomori
2412,"Oirase, Aomori",Aomori
2423,"Oma, Aomori",Aomori
2424,"Higashidori, Aomori",Aomori
2425,"Kazamaura, Aomori",Aomori
2426,"Sai, Aomori",Aomori
2441,"Sannohe, Aomori",Aomori
2442,"Gonohe, Aomori",Aomori
2443,"Takko, Aomori",Aomori
2445,"Nanbu, Aomori",Aomori
2446,"Hashikami, Aomori",Aomori
2450,"Shingo, Aomori",Aomori
3201,Morioka,Iwate
3202,"Miyako, Iwate",Iwate
3203,"Ofunato, Iwate",Iwate
3205,"Hanamaki, Iwate",Iwate
3206,"Kitakami, Iwate",Iwate
3207,"Kuji, Iwate",Iwate
3208,"Tono, Iwate",Iwate
3209,"Ichinoseki, Iwate",Iwate
3210,"Rikuzentakata, Iwate",Iwate
3211,"Kamaishi, Iwate",Iwate
3213,"Ninohe, Iwate",Iwate
3214,"Hachimantai, Iwate",Iwate
3215,"Oshu, Iwate",Iwate
3216,"Takizawa, Iwate",Iwate
3301,"Shizukuishi, Iwate",Iwate
3302,"Kuzumaki, Iwate",Iwate
3303,"Iwate, Iwate",Iwate
3321,"Shiwa, Iwate",Iwate
3322,"Yahaba, Iwate",Iwate
3366,"Nishiwaga, Iwate",Iwate
3381,"Kanegasaki, Iwate",Iwate
3402,"Hiraizumi, Iwate",Iwate
3441,"Sumita, Iwate",Iwate
3461,"otsuchi, Iwate",Iwate
3482,"Yamada, Iwate",Iwate
3483,"Iwaizumi, Iwate",Iwate
3484,"Tanohata, Iwate",Iwate
3485,"Fudai, Iwate",Iwate
3501,"Karumai, Iwate",Iwate
3503,"Noda, Iwate",Iwate
3506,"Kunohe, Iwate",Iwate
3507,"Hirono, Iwate",Iwate
3524,"Ichinohe, Iwate",Iwate
4100,Sendai,Miyagi
4101,"Aoba-ku, Sendai",Miyagi
4102,"Miyagino-ku, Sendai",Miyagi
4103,"Wakabayashi-ku, Sendai",Miyagi
4104,"Taihaku-ku, Sendai",Miyagi
4105,"Izumi-ku, Sendai",Miyagi
4202,Ishinomaki,Miyagi
4203,Shiogama,Miyagi
4205,Kesennuma,Miyagi
4206,"Shiroishi, Miyagi",Miyagi
4207,"Natori, Miyagi",Miyagi
4208,"Kakuda, Miyagi",Miyagi
4209,Tagajo,Miyagi
4211,Iwanuma,Miyagi
4212,"Tome, Miyagi",Miyagi
4213,"Kurihara, Miyagi",Miyagi
4214,Higashimatsushima,Miyagi
4215,"osaki, Miyagi",Miyagi
4216,"Tomiya, Miyagi",Miyagi
4301,"Zao, Miyagi",Miyagi
4302,"Shichikashuku, Miyagi",Miyagi
4321,"ogawara, Miyagi",Miyagi
4322,"Murata, Miyagi",Miyagi
4323,"Shibata, Miyagi",Miyagi
4324,"Kawasaki, Miyagi",Miyagi
4341,"Marumori, Miyagi",Miyagi
4361,"Watari, Miyagi",Miyagi
4362,"Yamamoto, Miyagi",Miyagi
4401,"Matsushima, Miyagi",Miyagi
4404,Shichigahama,Miyagi
4406,Rifu,Miyagi
4421,"Taiwa, Miyagi",Miyagi
4422,"Osato, Miyagi",Miyagi
4424,"Ohira, Miyagi",Miyagi
4444,"Shikama, Miyagi",Miyagi
4445,"Kami, Miyagi",Miyagi
4501,Wakuya,Miyagi
4505,"Misato, Miyagi",Miyagi
4581,"Onagawa, Miyagi",Miyagi
4606,Minamisanriku,Miyagi
5201,Akita (city),Akita
5202,"Noshiro, Akita",Akita
5203,"Yokote, Akita",Akita
5204,Odate,Akita
5206,"Oga, Akita",Akita
5207,"Yuzawa, Akita",Akita
5209,"Kazuno, Akita",Akita
5210,Yurihonjo,Akita
5211,"Katagami, Akita",Akita
5212,"Daisen, Akita",Akita
5213,Kitaakita,Akita
5214,"Nikaho, Akita",Akita
5215,"Semboku, Akita",Akita
5303,"Kosaka, Akita",Akita
5327,"Kamikoani, Akita",Akita
5346,"Fujisato, Akita",Akita
5348,"Mitane, Akita",Akita
5349,"Happo, Akita",Akita
5361,"Gojome, Akita",Akita
5363,"Hachirogata, Akita",Akita
5366,"Ikawa, Akita",Akita
5368,"ogata, Akita",Akita
5434,"Misato, Akita",Akita
5463,"Ugo, Akita",Akita
5464,"Higashinaruse, Akita",Akita
6201,"Yamagata, Yamagata",Yamagata
6202,"Yonezawa, Yamagata",Yamagata
6203,"Tsuruoka, Yamagata",Yamagata
6204,"Sakata, Yamagata",Yamagata
6205,"Shinjo, Yamagata",Yamagata
6206,"Sagae, Yamagata",Yamagata
6207,"Kaminoyama, Yamagata",Yamagata
6208,"Murayama, Yamagata",Yamagata
6209,"Nagai, Yamagata",Yamagata
6210,"Tendo, Yamagata",Yamagata
6211,"Higashine, Yamagata",Yamagata
6212,"Obanazawa, Yamagata",Yamagata
6213,"Nan'yo, Yamagata",Yamagata
6301,"Yamanobe, Yamagata",Yamagata
6302,"Nakayama, Yamagata",Yamagata
6321,"Kahoku, Yamagata",Yamagata
6322,"Nishikawa, Yamagata",Yamagata
6323,"Asahi, Yamagata (Nishimurayama)",Yamagata
6324,"Oe, Yamagata",Yamagata
6341,Oishida,Yamagata
6361,"Kaneyama, Yamagata",Yamagata
6362,"Mogami, Yamagata",Yamagata
6363,"Funagata, Yamagata",Yamagata
6364,Mamurogawa,Yamagata
6365,"okura, Yamagata",Yamagata
6366,"Sakegawa, Yamagata",Yamagata
6367,"Tozawa, Yamagata",Yamagata
6381,"Takahata, Yamagata",Yamagata
6382,"Kawanishi, Yamagata",Yamagata
6401,"Oguni, Yamagata",Yamagata
6402,Shirataka,Yamagata
6403,"Iide, Yamagata",Yamagata
6426,"Mikawa, Yamagata",Yamagata
6428,"Shonai, Yamagata",Yamagata
6461,Yuza,Yamagata
7201,Fukushima (city),Fukushima
7202,Aizuwakamatsu,Fukushima
7203,Koriyama,Fukushima
7204,"Iwaki, Fukushima",Fukushima
7205,"Shirakawa, Fukushima",Fukushima
7207,"Sukagawa, Fukushima",Fukushima
7208,"Kitakata, Fukushima",Fukushima
7209,"Soma, Fukushima",Fukushima
7210,"Nihonmatsu, Fukushima",Fukushima
7211,"Tamura, Fukushima",Fukushima
7212,Minamisoma,Fukushima
7213,"Date City, Fukushima",Fukushima
7214,"Motomiya, Fukushima",Fukushima
7301,"Koori, Fukushima",Fukushima
7303,"Kunimi, Fukushima",Fukushima
7308,"Kawamata, Fukushima",Fukushima
7322,"otama, Fukushima",Fukushima
7342,"Kagamiishi, Fukushima",Fukushima
7344,"Ten-ei, Fukushima",Fukushima
7362,"Shimogo, Fukushima",Fukushima
7364,"Hinoemata, Fukushima",Fukushima
7367,"Tadami, Fukushima",Fukushima
7368,Minamiaizu,Fukushima
7402,"Kitashiobara, Fukushima",Fukushima
7405,"Nishiaizu, Fukushima",Fukushima
7407,"Bandai, Fukushima",Fukushima
7408,Inawashiro,Fukushima
7421,Aizubange,Fukushima
7422,"Yugawa, Fukushima",Fukushima
7423,"Yanaizu, Fukushima",Fukushima
7444,"Mishima, Fukushima",Fukushima
7445,"Kaneyama, Fukushima",Fukushima
7446,"Showa, Fukushima",Fukushima
7447,Aizumisato,Fukushima
7461,"Nishigo, Fukushima",Fukushima
7464,"Izumizaki, Fukushima",Fukushima
7465,"Nakajima, Fukushima",Fukushima
7466,"Yabuki, Fukushima",Fukushima
7481,"Tanagura, Fukushima",Fukushima
7482,"Yamatsuri, Fukushima",Fukushima
7483,"Hanawa, Fukushima",Fukushima
7484,"Samegawa, Fukushima",Fukushima
7501,"Ishikawa, Fukushima",Fukushima
7502,"Tamakawa, Fukushima",Fukushima
7503,"Hirata, Fukushima",Fukushima
7504,"Asakawa, Fukushima",Fukushima
7505,"Furudono, Fukushima",Fukushima
7521,"Miharu, Fukushima",Fukushima
7522,"Ono, Fukushima",Fukushima
7541,"Hirono, Fukushima",Fukushima
7542,"Naraha, Fukushima",Fukushima
7543,"Tomioka, Fukushima",Fukushima
7544,"Kawauchi, Fukushima",Fukushima
7545,"okuma, Fukushima",Fukushima
7546,"Futaba, Fukushima",Fukushima
7547,"Namie, Fukushima",Fukushima
7548,"Katsurao, Fukushima",Fukushima
7561,"Shinchi, Fukushima",Fukushima
7564,"Iitate, Fukushima",Fukushima
8201,"Mito, Ibaraki",Ibaraki
8202,"Hitachi, Ibaraki",Ibaraki
8203,Tsuchiura,Ibaraki
8204,"Koga, Ibaraki",Ibaraki
8205,"Ishioka, Ibaraki",Ibaraki
8207,"Yuki, Ibaraki",Ibaraki
8208,"Ryugasaki, Ibaraki",Ibaraki
8210,"Shimotsuma, Ibaraki",Ibaraki
8211,Joso,Ibaraki
8212,"Hitachiota, Ibaraki",Ibaraki
8214,"Takahagi, Ibaraki",Ibaraki
8215,"Kitaibaraki, Ibaraki",Ibaraki
8216,"Kasama, Ibaraki",Ibaraki
8217,"Toride, Ibaraki",Ibaraki
8219,"Ushiku, Ibaraki",Ibaraki
8220,"Tsukuba, Ibaraki",Ibaraki
8221,"Hitachinaka, Ibaraki",Ibaraki
8222,"Kashima, Ibaraki",Ibaraki
8223,"Itako, Ibaraki",Ibaraki
8224,"Moriya, Ibaraki",Ibaraki
8225,Hitachiomiya,Ibaraki
8226,"Naka, Ibaraki",Ibaraki
8227,Chikusei,Ibaraki
8228,"Bando, Ibaraki",Ibaraki
8229,"Inashiki, Ibaraki",Ibaraki
8230,"Kasumigaura, Ibaraki",Ibaraki
8231,"Sakuragawa, Ibaraki",Ibaraki
8232,"Kamisu, Ibaraki",Ibaraki
8233,"Namegata, Ibaraki",Ibaraki
8234,"Hokota, Ibaraki",Ibaraki
8235,"Tsukubamirai, Ibaraki",Ibaraki
8236,Omitama,Ibaraki
8302,"Ibaraki, Ibaraki",Ibaraki
8309,"Oarai, Ibaraki",Ibaraki
8310,"Shirosato, Ibaraki",Ibaraki
8341,"Tokai, Ibaraki",Ibaraki
8364,"Daigo, Ibaraki",Ibaraki
8442,"Miho, Ibaraki",Ibaraki
8443,"Ami, Ibaraki",Ibaraki
8447,"Kawachi, Ibaraki",Ibaraki
8521,"Yachiyo, Ibaraki",Ibaraki
8542,"Goka, Ibaraki",Ibaraki
8546,"Sakai, Ibaraki",Ibaraki
8564,"Tone, Ibaraki",Ibaraki
9201,Utsunomiya,Tochigi
9202,"Ashikaga, Tochigi",Tochigi
9203,"Tochigi, Tochigi",Tochigi
9204,"Sano, Tochigi",Tochigi
9205,"Kanuma, Tochigi",Tochigi
9206,"Nikko, Tochigi",Tochigi
9208,"Oyama, Tochigi",Tochigi
9209,"Mooka, Tochigi",Tochigi
9210,otawara,Tochigi
9211,"Yaita, Tochigi",Tochigi
9213,Nasushiobara,Tochigi
9214,"Sakura, Tochigi",Tochigi
9215,Nasukarasuyama,Tochigi
9216,"Shimotsuke, Tochigi",Tochigi
9301,"Kaminokawa, Tochigi",Tochigi
9342,"Mashiko, Tochigi",Tochigi
9343,"Motegi, Tochigi",Tochigi
9344,"Ichikai, Tochigi",Tochigi
9345,"Haga, Tochigi",Tochigi
9361,"Mibu, Tochigi",Tochigi
9364,"Nogi, Tochigi",Tochigi
9384,"Shioya, Tochigi",Tochigi
9386,"Takanezawa, Tochigi",Tochigi
9407,"Nasu, Tochigi",Tochigi
9411,"Nakagawa, Tochigi",Tochigi
10201,Maebashi,Gunma
10202,Takasaki,Gunma
10203,"Kiryu, Gunma",Gunma
10204,"Isesaki, Gunma",Gunma
10205,"ota, Gunma",Gunma
10206,"Numata, Gunma",Gunma
10207,"Tatebayashi, Gunma",Gunma
10208,"Shibukawa, Gunma",Gunma
10209,"Fujioka, Gunma",Gunma
10210,"Tomioka, Gunma",Gunma
10211,"Annaka, Gunma",Gunma
10212,"Midori, Gunma",Gunma
10344,"Shinto, Gunma",Gunma
10345,"Yoshioka, Gunma",Gunma
10366,"Ueno, Gunma",Gunma
10367,"Kanna, Gunma",Gunma
10382,"Shimonita, Gunma",Gunma
10383,"Nanmoku, Gunma",Gunma
10384,"Kanra, Gunma",Gunma
10421,"Nakanojo, Gunma",Gunma
10424,"Naganohara, Gunma",Gunma
10425,"Tsumagoi, Gunma",Gunma
10426,"Kusatsu, Gunma",Gunma
10428,"Takayama, Gunma",Gunma
10429,"Higashiagatsuma, Gunma",Gunma
10443,"Katashina, Gunma",Gunma
10444,"Kawaba, Gunma",Gunma
10448,"Showa, Gunma",Gunma
10449,"Minakami, Gunma",Gunma
10464,"Tamamura, Gunma",Gunma
10521,"Itakura, Gunma",Gunma
10522,"Meiwa, Gunma",Gunma
10523,"Chiyoda, Gunma",Gunma
10524,"Oizumi, Gunma",Gunma
10525,"Ora, Gunma",Gunma
11100,Saitama (city),Saitama
11101,"Nishi-ku, Saitama",Saitama
11102,"Kita-ku, Saitama",Saitama
11103,"Omiya-ku, Saitama",Saitama
11104,"Minuma-ku, Saitama",Saitama
11105,"Chuo-ku, Saitama",Saitama
11106,"Sakura-ku, Saitama",Saitama
11107,"Urawa-ku, Saitama",Saitama
11108,"Minami-ku, Saitama",Saitama
11109,"Midori-ku, Saitama",Saitama
11110,"Iwatsuki-ku, Saitama",Saitama
11201,"Kawagoe, Saitama",Saitama
11202,"Kumagaya, Saitama",Saitama
11203,"Kawaguchi, Saitama",Saitama
11206,Gyoda,Saitama
11207,"Chichibu, Saitama",Saitama
11208,"Tokorozawa, Saitama",Saitama
11209,"Hanno, Saitama",Saitama
11210,"Kazo, Saitama",Saitama
11211,"Honjo, Saitama",Saitama
11212,"Higashimatsuyama, Saitama",Saitama
11214,"Kasukabe, Saitama",Saitama
11215,"Sayama, Saitama",Saitama
11216,"Hanyu, Saitama",Saitama
11217,Konosu,Saitama
11218,"Fukaya, Saitama",Saitama
11219,"Ageo, Saitama",Saitama
11221,Soka,Saitama
11222,Koshigaya,Saitama
11223,"Warabi, Saitama",Saitama
11224,"Toda, Saitama",Saitama
11225,"Iruma, Saitama",Saitama
11227,"Asaka, Saitama",Saitama
11228,"Shiki, Saitama",Saitama
11229,"Wako, Saitama",Saitama
11230,"Niiza, Saitama",Saitama
11231,"Okegawa, Saitama",Saitama
11232,"Kuki, Saitama",Saitama
11233,"Kitamoto, Saitama",Saitama
11234,"Yashio, Saitama",Saitama
11235,"Fujimi, Saitama",Saitama
11237,"Misato, Saitama (city)",Saitama
11238,"Hasuda, Saitama",Saitama
11239,"Sakado, Saitama",Saitama
11240,"Satte, Saitama",Saitama
11241,"Tsurugashima, Saitama",Saitama
11242,"Hidaka, Saitama",Saitama
11243,"Yoshikawa, Saitama",Saitama
11245,"Fujimino, Saitama",Saitama
11246,"Shiraoka, Saitama",Saitama
11301,"Ina, Saitama",Saitama
11324,"Miyoshi, Saitama",Saitama
11326,"Moroyama, Saitama",Saitama
11327,"Ogose, Saitama",Saitama
11341,"Namegawa, Saitama",Saitama
11342,"Ranzan, Saitama",Saitama
11343,"Ogawa, Saitama",Saitama
11346,"Kawajima, Saitama",Saitama
11347,"Yoshimi, Saitama",Saitama
11348,"Hatoyama, Saitama",Saitama
11349,"Tokigawa, Saitama",Saitama
11361,"Yokoze, Saitama",Saitama
11362,"Minano, Saitama",Saitama
11363,"Nagatoro, Saitama",Saitama
11365,"Ogano, Saitama",Saitama
11369,"Higashichichibu, Saitama",Saitama
11381,"Misato, Saitama (town)",Saitama
11383,"Kamikawa, Saitama",Saitama
11385,"Kamisato, Saitama",Saitama
11408,"Yorii, Saitama",Saitama
11442,"Miyashiro, Saitama",Saitama
11464,"Sugito, Saitama",Saitama
11465,"Matsubushi, Saitama",Saitama
12100,Chiba (city),Chiba
12101,"Chuo-ku, Chiba",Chiba
12102,Hanamigawa-ku,Chiba
12103,Inage-ku,Chiba
12104,Wakaba-ku,Chiba
12105,"Midori-ku, Chiba",Chiba
12106,Mihama-ku,Chiba
12202,Choshi,Chiba
12203,"Ichikawa, Chiba",Chiba
12204,Funabashi,Chiba
12205,"Tateyama, Chiba",Chiba
12206,Kisarazu,Chiba
12207,Matsudo,Chiba
12208,"Noda, Chiba",Chiba
12210,Mobara,Chiba
12211,"Narita, Chiba",Chiba
12212,"Sakura, Chiba",Chiba
12213,Togane,Chiba
12215,"Asahi, Chiba",Chiba
12216,Narashino,Chiba
12217,Kashiwa,Chiba
12218,"Katsuura, Chiba",Chiba
12219,"Ichihara, Chiba",Chiba
12220,Nagareyama,Chiba
12221,"Yachiyo, Chiba",Chiba
12222,"Abiko, Chiba",Chiba
12223,"Kamogawa, Chiba",Chiba
12224,Kamagaya,Chiba
12225,Kimitsu,Chiba
12226,Futtsu,Chiba
12227,Urayasu,Chiba
12228,Yotsukaido,Chiba
12229,Sodegaura,Chiba
12230,Yachimata,Chiba
12231,Inzai,Chiba
12232,Shiroi,Chiba
12233,Tomisato,Chiba
12234,Minamiboso,Chiba
12235,Sosa,Chiba
12236,"Katori, Chiba",Chiba
12237,Sanmu,Chiba
12238,Isumi,Chiba
12239,oamishirasato,Chiba
12322,Shisui,Chiba
12329,"Sakae, Chiba",Chiba
12342,Kozaki,Chiba
12347,"Tako, Chiba",Chiba
12349,Tonosho,Chiba
12403,Kujukuri,Chiba
12409,"Shibayama, Chiba",Chiba
12410,Yokoshibahikari,Chiba
12421,"Ichinomiya, Chiba",Chiba
12422,Mutsuzawa,Chiba
12423,Chosei,Chiba
12424,Shirako,Chiba
12426,"Nagara, Chiba",Chiba
12427,Chonan,Chiba
12441,"otaki, Chiba",Chiba
12443,Onjuku,Chiba
12463,Kyonan,Chiba
13101,"Chiyoda, Tokyo",Tokyo
13102,"Chuo, Tokyo",Tokyo
13103,"Minato, Tokyo",Tokyo
13104,Shinjuku,Tokyo
13105,Bunkyo,Tokyo
13106,Taito,Tokyo
13107,"Sumida, Tokyo",Tokyo
